學年度,學校名稱,日間生師比,來源
106,東吳大學,31.35,1
107,東吳大學,30.36,1
108,東吳大學,29.96,1
109,東吳大學,30.63,1
110,東吳大學,30.85,1
111,東吳大學,31.07,1
112,東吳大學,32.12,1
113,東吳大學,32.63,1
114,東吳大學,31.30,1
106,中國文化大學,31.95,1
107,中國文化大學,31.59,1
108,中國文化大學,31.17,1
109,中國文化大學,31.96,1
110,中國文化大學,32.16,1
111,中國文化大學,30.35,1
112,中國文化大學,28.96,1
113,中國文化大學,28.31,1
114,中國文化大學,28.83,1
106,世新大學,32.45,1
107,世新大學,30.89,1
108,世新大學,30.71,1
109,世新大學,29.26,1
110,世新大學,30.32,1
111,世新大學,30.14,1
112,世新大學,32.45,1
113,世新大學,32.32,1
114,世新大學,32.13,1
106,淡江大學,30.57,1
107,淡江大學,30.75,1
108,淡江大學,31.09,1
109,淡江大學,30.75,1
110,淡江大學,30.55,1
111,淡江大學,28.87,1
112,淡江大學,31.00,1
113,淡江大學,31.37,1
114,淡江大學,31.14,1
106,銘傳大學,31.10,1
107,銘傳大學,31.67,1
108,銘傳大學,31.66,1
109,銘傳大學,31.47,1
110,銘傳大學,32.77,1
111,銘傳大學,31.49,1
112,銘傳大學,31.81,1
113,銘傳大學,31.61,1
114,銘傳大學,31.84,1
106,輔仁大學,29.83,1
107,輔仁大學,27.69,1
108,輔仁大學,27.61,1
109,輔仁大學,27.49,1
110,輔仁大學,27.56,1
111,輔仁大學,28.29,1
112,輔仁大學,28.43,1
113,輔仁大學,28.83,1
114,輔仁大學,29.19,1
106,實踐大學,30.55,1
107,實踐大學,31.44,1
108,實踐大學,31.84,1
109,實踐大學,32.78,1
110,實踐大學,33.94,1
111,實踐大學,32.33,1
112,實踐大學,31.24,1
113,實踐大學,31.73,1
114,實踐大學,32.51,1
106,大同大學,25.52,1
107,大同大學,26.32,1
108,大同大學,26.47,1
109,大同大學,27.15,1
110,大同大學,27.43,1
111,大同大學,27.38,1
112,大同大學,27.81,1
113,大同大學,29.30,1
114,大同大學,28.84,1
106,臺北醫學大學,9.52,1
107,臺北醫學大學,9.53,1
108,臺北醫學大學,8.71,1
109,臺北醫學大學,8.52,1
110,臺北醫學大學,8.56,1
111,臺北醫學大學,8.40,1
112,臺北醫學大學,8.26,1
113,臺北醫學大學,8.22,1
114,臺北醫學大學,8.14,1
106,中原大學,32.25,1
107,中原大學,30.89,1
108,中原大學,31.18,1
109,中原大學,31.46,1
110,中原大學,31.31,1
111,中原大學,31.09,1
112,中原大學,30.85,1
113,中原大學,30.07,1
114,中原大學,29.61,1
106,逢甲大學,29.45,1
107,逢甲大學,28.88,1
108,逢甲大學,29.50,1
109,逢甲大學,28.81,1
110,逢甲大學,29.51,1
111,逢甲大學,30.16,1
112,逢甲大學,29.98,1
113,逢甲大學,30.21,1
114,逢甲大學,30.02,1
106,靜宜大學,32.59,1
107,靜宜大學,31.50,1
108,靜宜大學,30.21,1
109,靜宜大學,30.53,1
110,靜宜大學,31.66,1
111,靜宜大學,31.59,1
112,靜宜大學,31.86,1
113,靜宜大學,32.23,1
114,靜宜大學,32.60,1
106,東海大學,28.40,1
107,東海大學,27.13,1
108,東海大學,26.02,1
109,東海大學,25.84,1
110,東海大學,26.53,1
111,東海大學,25.57,1
112,東海大學,27.61,1
113,東海大學,27.69,1
114,東海大學,33.74,1
